site,January,February,March,April,May,june
ACH,58,58,52,62,87,97
AHA,10,7,8,9,2,2
ALS,31,39,39,31,29,30
CCDOFW,51,3,9,2,5,8
CTL,255,8,0,7,16,23
CEC,47,50,97,17,16,21
CAN,90,92,96,87,54,118
DRC,293,494,690,575,725,204
FE,11,1,1,1,0,1
FWHS,58,5,9,9,12,10
Grace,57,56,56,57,57,57
HCC,29,30,19,29,34,0
MHMR ADS,1402,1240,1243,1050,985,926
MHMR HS,921,921,921,819,999,981
PNS,1098,1200,1080,696,935,991
RRC,6,2,0,4,15,7
TC,63,83,82,27,9,14
,12,,,,1,1
SAM,12,0,2,11,5,4
TSA ARL,15,18,21,46,53,53
TSA FW,305,375,69,91,113,75
